# How far each campaign got with each target (#605). One row per (campaign, target),
# carrying the FURTHEST stage that campaign reached. The stages, the rules that decide
# them, and what this record cannot see are on spike/outcome-funnel.py and in
# docs/outcome-funnel.md; the counts are generated from here and never typed.
#
# Columns (tab-separated, exactly nine, TABS not spaces):
#
#   campaign target stage verdict stop report evidence as_of note
#
#   stage     attempted explored judged novel report_worthy filed acknowledged
#             fixed revalidated
#   verdict   pass / fail / unknown (a named refusal) / - . A verdict is PASS or FAIL;
#             everything else is a refusal, never a silent pass (docs/target-classes.md).
#   stop      why this encounter stopped where it did, from a closed set. `known` and
#             `not_worth` are separate because they are different judgements: the
#             2026-09-16 run did not file pre-commit because no content is lost, which
#             says nothing about whether the finding was novel.
#   report    owner/repo#N, and it must be one of this project's own filings in
#             spike/upstream-reports.tsv. A third party's issue covering the same shape
#             goes in the note - it is not a report this project made. A row below
#             `filed` may still carry one: the 2026-09-05 run rediscovered a window
#             this project had filed the day before.
#   evidence  a path in this repository. Where it is a report this engine wrote, the
#             checker holds this row's verdict and stage to what that report says.
#             Where it is not, the checker holds it to existing and to naming the
#             target, and `summary` prints how many rows are in each state.
#   as_of     when the upstream state in `stop` was read. Required from `filed` on:
#             a tail state with no reading date is indistinguishable from one nobody
#             re-read, which is the failure spike/upstream-report-status.sh exists to
#             avoid. That script measures the live state; this column does not.
dogfood/2026-09-05-userview	mogrify	filed	fail	-	ImageMagick/ImageMagick#8939	spike/dogfood/2026-09-05-userview/transcripts/explore/mogrify.json	2026-09-05	FAIL 6/13: rename aside, then no file at the original name. Filed the same day, written as minor with an invitation to close it
dogfood/2026-09-05-userview	exiv2	filed	fail	awaiting	Exiv2/exiv2#9482	spike/dogfood/2026-09-05-userview/transcripts/explore/exiv2.json	2026-09-05	FAIL 3/7: a zero-byte image with the original nowhere. No response recorded here since
dogfood/2026-09-05-userview	qpdf	judged	fail	known	qpdf/qpdf#1773	spike/dogfood/2026-09-05-userview/transcripts/explore/qpdf.json	-	Rediscovery, not a new finding: this project filed the same window on 2026-09-04 from a separate measurement, and the run's freshness check missed it because it read only this repository
dogfood/2026-09-05-userview	rdiff-backup	judged	fail	known	-	spike/dogfood/2026-09-05-userview/transcripts/explore/rdiff-backup-regress.json	-	FAIL 1/69 with the tool's own regress step ahead of the assert. Not filed: rdiff-backup/rdiff-backup#1084, a third party's, reports the same shape on the same version
dogfood/2026-09-05-userview	chezmoi	attempted	unknown	wall	-	spike/dogfood/2026-09-05-userview/transcripts/preflight-round1/chezmoi-fullpath.txt	-	no_shim_marker: every Linux artifact the project publishes is static, so there is no build this engine can enter. Measured with the full path - written the way a user writes it, the same refusal says Sideeye did not resolve the binary, which reads as the wrong diagnosis
dogfood/2026-09-05-userview	gopass	attempted	unknown	wall	-	spike/dogfood/2026-09-05-userview/transcripts/preflight-round1/gopass-direct.txt	-	no_shim_marker, the same static-Go wall as chezmoi. The run's first attempt carried the environment through an `sh` wrapper, which is dynamic and exec'd a child, so that transcript refuses boundary_without_oracle and its own RESULTS.md sets it aside; this is the measurement that reached the wall
dogfood/2026-09-05-userview	beets	attempted	unknown	wall	-	spike/dogfood/2026-09-05-userview/transcripts/preflight-round1/beets.txt	-	multiple_threads_detected
dogfood/2026-09-05-userview	joplin	attempted	unknown	wall	-	spike/dogfood/2026-09-05-userview/transcripts/preflight-round1/joplin.txt	-	multiple_threads_detected, the first real Node target to meet the thread wall
dogfood/2026-09-06-imagemagick-refix	mogrify	revalidated	fail	discussing	ImageMagick/ImageMagick#8939	spike/dogfood/2026-09-06-imagemagick-refix/transcripts/main-original.json	2026-09-06	Re-measured against the merged patch: it narrows the reported window and opens a wider one, losing the original outright. Answered as a comment on the same issue, so no new identifier
dogfood/2026-09-06-imagemagick-patch3	mogrify	revalidated	pass	-	ImageMagick/ImageMagick#8939	spike/dogfood/2026-09-06-imagemagick-patch3/transcripts/main-original.json	2026-09-06	The third patch closes both items: PASS 4/4 against the patched build where 7.1.1-43 is FAIL 2/5. A new regression (preserve-timestamp silently stops preserving) was found here and not filed - the owner's call was to stop replying on the issue
dogfood/2026-09-06-userview-2	fonttools	filed	fail	declined	fonttools/fonttools#4170	spike/dogfood/2026-09-06-userview-2/transcripts/explore2/fonttools.json	2026-09-16	Closed upstream: naming the input as the output is read as the caller's risk. State read in the 2026-09-16 run's table of five filings
dogfood/2026-09-06-userview-2	bean-format	filed	fail	awaiting	beancount/beancount#1051	spike/dogfood/2026-09-06-userview-2/transcripts/explore2/beanfmt.json	2026-09-16	Open, no comment in ten days. State read in the 2026-09-16 run's table
